Date,Open,High,Low,Close,Volume,"('Adj Close', 'NXST')","('Close', 'NXST')","('High', 'NXST')","('Low', 'NXST')","('Open', 'NXST')","('Volume', 'NXST')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,156.1199951171875,161.89999389648438,154.97999572753906,160.22000122070312,280600.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,157.52999877929688,159.1300048828125,155.8000030517578,156.72999572753906,196600.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,157.39999389648438,158.9499969482422,155.75,158.50999450683594,237600.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,157.8000030517578,162.22999572753906,157.5399932861328,160.1199951171875,363100.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,160.83999633789062,172.7100067138672,159.83999633789062,172.1199951171875,450100.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,170.6699981689453,172.55999755859375,169.88999938964844,172.2899932861328,325900.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,172.32000732421875,172.69000244140625,169.13999938964844,170.75,298500.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,171.33999633789062,172.22000122070312,168.36000061035156,172.0399932861328,241600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,172.7899932861328,174.05999755859375,170.82000732421875,171.82000732421875,339400.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,170.82000732421875,171.77999877929688,168.5399932861328,169.3800048828125,380100.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,166.47000122070312,170.4600067138672,165.58999633789062,167.57000732421875,310500.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,168.97000122070312,169.0,166.72000122070312,167.39999389648438,233000.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,168.42999267578125,172.8300018310547,166.5800018310547,172.52999877929688,158400.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,173.89999389648438,177.7899932861328,173.89999389648438,176.41000366210938,237100.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,178.75999450683594,180.0,173.5,173.57000732421875,254500.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,176.6999969482422,176.6999969482422,171.3000030517578,172.0,252500.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,174.9199981689453,177.5500030517578,174.49000549316406,176.72999572753906,211600.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,178.32000732421875,180.8000030517578,177.58999633789062,180.6300048828125,231000.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,179.39999389648438,181.38999938964844,178.75,179.9600067138672,191900.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,179.3300018310547,180.5200042724609,178.52999877929688,180.1699981689453,174600.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,180.22999572753903,183.67999267578125,177.64999389648438,177.7100067138672,286400.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,179.02000427246094,181.00999450683597,172.86000061035156,178.5,213300.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,177.42999267578125,178.44000244140625,175.4600067138672,176.72999572753906,194800.0,,,,,,,,,,
