Date,Open,High,Low,Close,Volume,"('Adj Close', 'RH')","('Close', 'RH')","('High', 'RH')","('Low', 'RH')","('Open', 'RH')","('Volume', 'RH')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,287.69000244140625,295.75,283.760009765625,285.8500061035156,518800.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,278.8699951171875,278.8800048828125,264.3999938964844,269.739990234375,914900.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,268.510009765625,269.3099975585937,262.8099975585937,266.3399963378906,676600.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,263.3599853515625,275.0299987792969,261.54998779296875,263.7099914550781,519900.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,263.69000244140625,273.6199951171875,262.9599914550781,272.6499938964844,511300.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,268.0599975585937,274.0,266.92999267578125,271.8999938964844,449700.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,274.8800048828125,275.4599914550781,268.6199951171875,273.1199951171875,347500.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,273.0,276.19000244140625,263.6000061035156,275.6600036621094,539400.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,277.760009765625,281.5,267.1099853515625,268.2900085449219,553000.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,265.760009765625,266.19000244140625,255.1699981689453,258.0199890136719,728600.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,253.55999755859372,255.13999938964844,249.27999877929688,254.5500030517578,550800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,254.75999450683597,258.6499938964844,253.22000122070312,255.0200042724609,331200.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,256.9700012207031,259.44000244140625,251.19000244140625,259.3500061035156,653800.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,261.5,270.6300048828125,261.010009765625,266.3399963378906,495400.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,268.9200134277344,271.0,265.2300109863281,268.7699890136719,452300.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,273.760009765625,275.6499938964844,263.57000732421875,264.3399963378906,500600.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,267.3999938964844,271.760009765625,265.54998779296875,270.5199890136719,395600.0,,,,,,,,,,
