Date,Open,High,Low,Close,Volume,"('Adj Close', 'ALEC')","('Close', 'ALEC')","('High', 'ALEC')","('Low', 'ALEC')","('Open', 'ALEC')","('Volume', 'ALEC')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,7.889999866485596,8.239999771118164,7.75,7.989999771118164,704500.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,7.900000095367432,8.010000228881836,7.619999885559082,7.690000057220459,385600.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,7.760000228881836,8.069999694824219,7.679999828338623,7.980000019073486,276700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,7.909999847412109,7.909999847412109,7.460000038146973,7.489999771118164,374000.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,7.480000019073486,8.100000381469727,7.199999809265137,8.039999961853027,438600.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,8.220000267028809,8.899999618530273,8.0600004196167,8.079999923706055,1035900.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,8.050000190734863,8.15999984741211,7.659999847412109,7.940000057220459,469000.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,7.820000171661377,7.929999828338623,7.5,7.610000133514404,947600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,7.710000038146973,8.03499984741211,7.619999885559082,7.78000020980835,279500.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,7.630000114440918,7.78000020980835,7.320000171661377,7.639999866485596,338000.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,6.5,6.730000019073486,6.349999904632568,6.570000171661377,1827800.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,6.650000095367432,6.650000095367432,5.71999979019165,5.769999980926514,1064300.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,5.760000228881836,5.949999809265137,5.489999771118164,5.880000114440918,885500.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,5.929999828338623,6.070000171661377,5.78000020980835,5.949999809265137,766500.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,6.059999942779541,6.199999809265137,5.929999828338623,6.139999866485596,760300.0,,,,,,,,,,
