Date,Open,High,Low,Close,Volume,"('Adj Close', 'STRR')","('Close', 'STRR')","('High', 'STRR')","('Low', 'STRR')","('Open', 'STRR')","('Volume', 'STRR')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,5.25,5.25,4.75,4.900000095367432,26340.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,4.949999809265137,5.050000190734863,4.599999904632568,5.0,15640.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,5.050000190734863,5.050000190734863,4.699999809265137,4.699999809265137,12000.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,4.900000095367432,5.0,4.849999904632568,4.949999809265137,8340.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,4.75,4.900000095367432,4.75,4.849999904632568,6080.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,4.800000190734863,4.900000095367432,4.800000190734863,4.849999904632568,2280.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,4.849999904632568,5.0,4.849999904632568,4.849999904632568,3700.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,4.849999904632568,4.949999809265137,4.849999904632568,4.949999809265137,160.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,4.900000095367432,5.0,4.75,4.800000190734863,3420.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,4.949999809265137,5.050000190734863,4.800000190734863,4.800000190734863,7560.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,4.949999809265137,5.0,4.800000190734863,4.900000095367432,2400.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,5.050000190734863,5.199999809265137,4.900000095367432,5.050000190734863,12780.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,4.849999904632568,5.25,4.849999904632568,4.900000095367432,8600.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,4.849999904632568,5.099999904632568,4.849999904632568,4.900000095367432,3780.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,4.900000095367432,5.0,4.900000095367432,4.900000095367432,3120.0,,,,,,,,,,
