Date,Open,High,Low,Close,Volume,"('Adj Close', 'UAVS')","('Close', 'UAVS')","('High', 'UAVS')","('Low', 'UAVS')","('Open', 'UAVS')","('Volume', 'UAVS')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,110.0,110.0,110.0,110.0,1434.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,110.0,110.0,100.0,100.0,1245.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,110.0,110.0,100.0,100.0,1328.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,100.0,100.0,100.0,100.0,1632.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,110.0,110.0,100.0,110.0,2430.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,110.0,110.0,100.0,100.0,1525.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,110.0,110.0,100.0,100.0,2208.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,100.0,100.0,100.0,100.0,2394.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,100.0,100.0,100.0,100.0,2243.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,100.0,100.0,100.0,100.0,2311.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,90.0,120.0,90.0,100.0,50461.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,100.0,100.0,90.0,90.0,16525.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,90.0,90.0,80.0,90.0,6721.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,90.0,90.0,80.0,80.0,3818.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,80.0,90.0,80.0,90.0,3159.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,90.0,90.0,90.0,90.0,2344.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,90.0,90.0,90.0,90.0,1682.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,90.0,90.0,90.0,90.0,1719.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,100.0,100.0,90.0,90.0,2735.0,,,,,,,,,,
2024-01-29 19:00:00-05:00,80.0,90.0,80.0,80.0,4758.0,,,,,,,,,,
2024-01-30 19:00:00-05:00,80.0,80.0,60.0,70.0,9406.0,,,,,,,,,,
2024-01-31 19:00:00-05:00,70.0,70.0,70.0,70.0,4639.0,,,,,,,,,,
2024-02-01 19:00:00-05:00,80.0,80.0,70.0,70.0,3059.0,,,,,,,,,,
2024-02-04 19:00:00-05:00,70.0,70.0,70.0,70.0,2459.0,,,,,,,,,,
2024-02-05 19:00:00-05:00,70.0,70.0,70.0,70.0,2534.0,,,,,,,,,,
2024-02-06 19:00:00-05:00,70.0,70.0,70.0,70.0,1576.0,,,,,,,,,,
2024-02-07 19:00:00-05:00,70.0,100.0,70.0,70.0,28813.0,,,,,,,,,,
2024-02-08 19:00:00-05:00,66.5,71.5,62.5,66.0,8270.0,,,,,,,,,,
2024-02-11 19:00:00-05:00,65.0,65.0,60.5,64.0,9028.0,,,,,,,,,,
2024-02-12 19:00:00-05:00,61.5,62.0,57.5,59.0,5974.0,,,,,,,,,,
2024-02-13 19:00:00-05:00,59.5,60.5,55.5,56.0,6616.0,,,,,,,,,,
2024-02-14 19:00:00-05:00,57.0,75.0,57.0,73.0,14596.0,,,,,,,,,,
2024-02-15 19:00:00-05:00,73.5,73.5,68.0,69.5,4416.0,,,,,,,,,,
2024-02-19 19:00:00-05:00,71.0,71.0,60.5,62.0,3182.0,,,,,,,,,,
2024-02-20 19:00:00-05:00,63.0,65.0,62.0,64.0,2538.0,,,,,,,,,,
2024-02-21 19:00:00-05:00,62.5,63.5,59.0,60.5,3792.0,,,,,,,,,,
2024-02-22 19:00:00-05:00,64.0,64.5,52.5,57.5,169858.0,,,,,,,,,,
2024-02-25 19:00:00-05:00,57.5,57.5,52.5,53.5,8634.0,,,,,,,,,,
2024-02-26 19:00:00-05:00,52.5,53.0,51.0,53.0,4398.0,,,,,,,,,,
2024-02-27 19:00:00-05:00,53.0,60.0,52.5,60.0,9414.0,,,,,,,,,,
2024-02-28 19:00:00-05:00,60.0,69.5,58.5,64.5,7582.0,,,,,,,,,,
2024-02-29 19:00:00-05:00,64.5,65.5,60.5,64.5,4304.0,,,,,,,,,,
2024-03-03 19:00:00-05:00,65.5,65.5,59.5,60.5,2892.0,,,,,,,,,,
2024-03-04 19:00:00-05:00,62.0,62.0,58.0,59.0,2064.0,,,,,,,,,,
2024-03-05 19:00:00-05:00,56.5,59.5,56.5,59.5,1884.0,,,,,,,,,,
2024-03-06 19:00:00-05:00,60.0,64.5,58.0,60.0,3856.0,,,,,,,,,,
2024-03-07 19:00:00-05:00,60.0,60.0,54.5,55.5,6820.0,,,,,,,,,,
2024-03-10 20:00:00-04:00,57.5,58.0,55.0,55.0,2534.0,,,,,,,,,,
2024-03-11 20:00:00-04:00,55.5,57.0,53.5,53.5,4484.0,,,,,,,,,,
2024-03-12 20:00:00-04:00,52.5,53.5,50.5,53.0,6478.0,,,,,,,,,,
2024-03-13 20:00:00-04:00,53.0,53.0,48.5,50.0,6020.0,,,,,,,,,,
2024-03-14 20:00:00-04:00,49.0,50.5,44.5,44.5,13796.0,,,,,,,,,,
2024-03-17 20:00:00-04:00,47.5,47.5,43.5,45.5,6192.0,,,,,,,,,,
2024-03-18 20:00:00-04:00,45.5,45.5,39.5,41.0,10048.0,,,,,,,,,,
2024-03-19 20:00:00-04:00,41.0,43.5,36.5,39.0,15906.0,,,,,,,,,,
2024-03-20 20:00:00-04:00,39.5,40.0,31.5,34.0,16832.0,,,,,,,,,,
2024-03-21 20:00:00-04:00,34.0,34.5,33.0,34.0,5926.0,,,,,,,,,,
2024-03-24 20:00:00-04:00,34.5,37.5,33.5,37.0,9120.0,,,,,,,,,,
2024-03-25 20:00:00-04:00,37.5,38.0,35.0,35.5,5616.0,,,,,,,,,,
2024-03-26 20:00:00-04:00,36.0,39.5,35.0,39.0,7074.0,,,,,,,,,,
2024-03-27 20:00:00-04:00,39.0,41.5,38.0,39.5,6372.0,,,,,,,,,,
2024-03-31 20:00:00-04:00,41.0,41.0,35.0,37.0,4622.0,,,,,,,,,,
2024-04-01 20:00:00-04:00,35.5,36.5,34.0,34.5,3868.0,,,,,,,,,,
2024-04-02 20:00:00-04:00,34.5,34.5,30.0,31.5,9754.0,,,,,,,,,,
2024-04-03 20:00:00-04:00,32.0,33.5,31.5,33.0,4642.0,,,,,,,,,,
2024-04-04 20:00:00-04:00,33.0,37.0,32.5,34.0,11344.0,,,,,,,,,,
2024-04-07 20:00:00-04:00,35.5,38.0,33.5,36.5,8030.0,,,,,,,,,,
2024-04-08 20:00:00-04:00,37.0,41.5,35.5,39.5,13938.0,,,,,,,,,,
2024-04-09 20:00:00-04:00,39.5,39.5,35.5,36.0,5476.0,,,,,,,,,,
2024-04-10 20:00:00-04:00,36.5,36.5,34.0,34.5,1812.0,,,,,,,,,,
2024-04-11 20:00:00-04:00,35.0,38.5,34.0,35.5,7448.0,,,,,,,,,,
2024-04-14 20:00:00-04:00,37.0,37.0,34.5,36.0,4806.0,,,,,,,,,,
2024-04-15 20:00:00-04:00,36.5,36.5,32.0,33.0,5666.0,,,,,,,,,,
2024-04-16 20:00:00-04:00,34.5,34.5,31.5,32.0,1988.0,,,,,,,,,,
2024-04-17 20:00:00-04:00,32.5,33.0,30.0,31.0,3026.0,,,,,,,,,,
2024-04-18 20:00:00-04:00,30.5,32.0,30.0,32.0,6564.0,,,,,,,,,,
2024-04-21 20:00:00-04:00,32.5,32.5,31.0,32.5,2642.0,,,,,,,,,,
2024-04-22 20:00:00-04:00,33.0,37.0,33.0,37.0,4878.0,,,,,,,,,,
2024-04-23 20:00:00-04:00,36.5,38.5,36.5,38.0,3916.0,,,,,,,,,,
2024-04-24 20:00:00-04:00,37.5,37.5,35.0,36.0,1538.0,,,,,,,,,,
2024-04-25 20:00:00-04:00,36.0,36.0,33.0,34.0,3540.0,,,,,,,,,,
2024-04-28 20:00:00-04:00,35.0,35.5,34.0,35.0,2496.0,,,,,,,,,,
2024-04-29 20:00:00-04:00,36.5,45.5,34.0,34.5,66520.0,,,,,,,,,,
2024-04-30 20:00:00-04:00,35.5,37.0,30.0,33.0,13788.0,,,,,,,,,,
2024-05-01 20:00:00-04:00,33.0,34.0,31.5,33.5,6158.0,,,,,,,,,,
2024-05-02 20:00:00-04:00,34.5,34.5,32.5,33.5,4222.0,,,,,,,,,,
2024-05-05 20:00:00-04:00,34.5,35.5,34.0,35.0,4478.0,,,,,,,,,,
2024-05-06 20:00:00-04:00,35.5,36.0,33.0,34.0,4902.0,,,,,,,,,,
2024-05-07 20:00:00-04:00,34.0,35.0,33.5,34.0,3094.0,,,,,,,,,,
2024-05-08 20:00:00-04:00,35.0,35.0,33.5,34.0,2484.0,,,,,,,,,,
2024-05-09 20:00:00-04:00,33.5,35.5,33.5,33.5,3746.0,,,,,,,,,,
2024-05-12 20:00:00-04:00,35.0,36.5,35.0,35.5,6984.0,,,,,,,,,,
2024-05-13 20:00:00-04:00,35.5,38.0,35.5,37.0,6950.0,,,,,,,,,,
2024-05-14 20:00:00-04:00,37.5,38.0,33.5,35.0,14414.0,,,,,,,,,,
2024-05-15 20:00:00-04:00,36.5,36.5,34.0,34.5,4472.0,,,,,,,,,,
2024-05-16 20:00:00-04:00,35.0,35.0,33.0,33.5,3488.0,,,,,,,,,,
2024-05-19 20:00:00-04:00,35.5,35.5,33.5,34.5,9356.0,,,,,,,,,,
2024-05-20 20:00:00-04:00,35.0,35.0,34.0,34.5,2412.0,,,,,,,,,,
2024-05-21 20:00:00-04:00,35.0,35.0,33.0,33.5,3520.0,,,,,,,,,,
2024-05-22 20:00:00-04:00,33.5,34.0,30.5,31.5,8006.0,,,,,,,,,,
2024-05-23 20:00:00-04:00,32.0,32.0,30.5,31.5,4144.0,,,,,,,,,,
2024-05-27 20:00:00-04:00,32.5,32.5,31.0,31.5,3648.0,,,,,,,,,,
2024-05-28 20:00:00-04:00,32.0,32.0,31.0,32.0,1808.0,,,,,,,,,,
2024-05-29 20:00:00-04:00,32.0,33.0,31.5,33.0,3342.0,,,,,,,,,,
2024-05-30 20:00:00-04:00,33.5,35.0,32.5,35.0,7016.0,,,,,,,,,,
2024-06-02 20:00:00-04:00,35.0,36.0,33.0,33.0,4092.0,,,,,,,,,,
2024-06-03 20:00:00-04:00,32.5,33.0,31.0,32.0,4196.0,,,,,,,,,,
2024-06-04 20:00:00-04:00,33.5,34.0,31.5,32.0,7752.0,,,,,,,,,,
2024-06-05 20:00:00-04:00,32.0,33.0,31.5,32.0,2922.0,,,,,,,,,,
2024-06-06 20:00:00-04:00,32.0,32.0,30.5,31.5,5068.0,,,,,,,,,,
2024-06-09 20:00:00-04:00,31.5,32.5,31.0,31.5,4910.0,,,,,,,,,,
2024-06-10 20:00:00-04:00,32.0,32.5,31.0,32.0,2198.0,,,,,,,,,,
2024-06-11 20:00:00-04:00,32.5,34.0,32.5,33.0,4872.0,,,,,,,,,,
2024-06-12 20:00:00-04:00,32.5,33.0,31.5,32.0,2258.0,,,,,,,,,,
2024-06-13 20:00:00-04:00,32.5,32.5,31.0,31.0,2788.0,,,,,,,,,,
2024-06-16 20:00:00-04:00,32.0,32.0,26.0,26.5,15108.0,,,,,,,,,,
2024-06-17 20:00:00-04:00,26.5,26.5,26.0,26.0,6350.0,,,,,,,,,,
2024-06-19 20:00:00-04:00,27.5,27.5,25.0,25.5,4770.0,,,,,,,,,,
2024-06-20 20:00:00-04:00,26.0,26.0,25.0,25.0,7144.0,,,,,,,,,,
2024-06-23 20:00:00-04:00,26.0,26.0,24.5,26.0,5260.0,,,,,,,,,,
2024-06-24 20:00:00-04:00,26.5,27.0,25.5,25.5,2070.0,,,,,,,,,,
