Date,Open,High,Low,Close,Volume,"('Adj Close', 'WTM')","('Close', 'WTM')","('High', 'WTM')","('Low', 'WTM')","('Open', 'WTM')","('Volume', 'WTM')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,1498.3399658203125,1509.969970703125,1498.010009765625,1509.969970703125,7900.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,1500.43994140625,1501.989990234375,1500.43994140625,1501.989990234375,8000.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,1528.3599853515625,1528.3599853515625,1507.1600341796875,1507.1600341796875,10300.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,1504.0,1504.0,1475.0,1475.0,6500.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,1477.0,1495.06005859375,1477.0,1495.06005859375,6100.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,1481.050048828125,1498.6500244140625,1481.050048828125,1498.6500244140625,4400.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,1484.030029296875,1513.9100341796875,1484.030029296875,1513.9100341796875,5800.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,1525.5899658203125,1527.1700439453125,1520.719970703125,1527.1700439453125,4700.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,1515.4300537109375,1536.3800048828125,1515.4300537109375,1531.449951171875,7500.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,1567.989990234375,1567.989990234375,1567.989990234375,1567.989990234375,6500.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,1587.969970703125,1593.1600341796875,1587.969970703125,1593.1600341796875,7500.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,1574.8900146484375,1629.43994140625,1574.8900146484375,1629.43994140625,7300.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,1629.510009765625,1643.0,1610.5899658203125,1638.0,9400.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,1649.3900146484375,1649.3900146484375,1649.3900146484375,1649.3900146484375,5900.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,1615.6700439453125,1618.0,1584.1500244140625,1601.0999755859375,10700.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,1601.010009765625,1602.300048828125,1582.25,1585.31005859375,7200.0,,,,,,,,,,
