Date,Open,High,Low,Close,Volume,"('Adj Close', 'LAD')","('Close', 'LAD')","('High', 'LAD')","('Low', 'LAD')","('Open', 'LAD')","('Volume', 'LAD')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,326.5599975585937,329.8599853515625,321.70001220703125,324.7799987792969,220800.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,317.7799987792969,319.5899963378906,302.3599853515625,303.1000061035156,207400.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,301.67999267578125,301.8299865722656,295.1400146484375,296.5899963378906,216700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,295.45001220703125,302.7799987792969,295.45001220703125,297.07000732421875,136300.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,296.8699951171875,304.739990234375,295.5599975585937,304.42999267578125,123600.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,300.6700134277344,305.7900085449219,300.3599853515625,301.6700134277344,117100.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,301.1099853515625,303.5599975585937,298.0899963378906,302.6300048828125,99900.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,301.8699951171875,302.32000732421875,290.510009765625,295.3999938964844,194200.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,298.4100036621094,299.989990234375,284.0,285.760009765625,147600.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,282.3900146484375,288.3900146484375,281.69000244140625,287.57000732421875,136600.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,285.0,290.0,284.0299987792969,288.239990234375,117500.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,292.07000732421875,295.3699951171875,290.42999267578125,292.29998779296875,134500.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,292.0799865722656,298.760009765625,289.1199951171875,296.739990234375,145100.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,299.6600036621094,304.2900085449219,298.75,303.5199890136719,79400.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,307.5,307.5,299.8900146484375,302.45001220703125,103100.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,307.3500061035156,307.3500061035156,293.45001220703125,295.0599975585937,117300.0,,,,,,,,,,
