Date,Open,High,Low,Close,Volume,"('Adj Close', 'BCC')","('Close', 'BCC')","('High', 'BCC')","('Low', 'BCC')","('Open', 'BCC')","('Volume', 'BCC')","('EMA5', '')","('EMA21', '')","('EMA26', '')","('ATR50', '')"
2024-01-01 19:00:00-05:00,128.0,129.50599670410156,126.20999908447266,128.24000549316406,250900.0,,,,,,,,,,
2024-01-02 19:00:00-05:00,126.87999725341795,127.06999969482422,124.52999877929688,125.05999755859376,203100.0,,,,,,,,,,
2024-01-03 19:00:00-05:00,125.88999938964844,126.49400329589844,124.19000244140624,124.2699966430664,269700.0,,,,,,,,,,
2024-01-04 19:00:00-05:00,122.93000030517578,128.97000122070312,122.4499969482422,128.22000122070312,310900.0,,,,,,,,,,
2024-01-07 19:00:00-05:00,128.85000610351562,132.33999633789062,128.3459930419922,132.30999755859375,260200.0,,,,,,,,,,
2024-01-08 19:00:00-05:00,130.36000061035156,130.36000061035156,127.0199966430664,128.49000549316406,311100.0,,,,,,,,,,
2024-01-09 19:00:00-05:00,129.32000732421875,131.8350067138672,129.16000366210938,130.82000732421875,324100.0,,,,,,,,,,
2024-01-10 19:00:00-05:00,130.0,132.52999877929688,128.38999938964844,131.72000122070312,208600.0,,,,,,,,,,
2024-01-11 19:00:00-05:00,133.41000366210938,133.52000427246094,128.85000610351562,132.30999755859375,163200.0,,,,,,,,,,
2024-01-15 19:00:00-05:00,131.27000427246094,132.5399932861328,130.41000366210938,131.60000610351562,173600.0,,,,,,,,,,
2024-01-16 19:00:00-05:00,130.3800048828125,131.93499755859375,129.0,131.66000366210938,176700.0,,,,,,,,,,
2024-01-17 19:00:00-05:00,133.32000732421875,135.1199951171875,130.9550018310547,132.50999450683594,206700.0,,,,,,,,,,
2024-01-18 19:00:00-05:00,132.99000549316406,133.5399932861328,129.8300018310547,133.44000244140625,205900.0,,,,,,,,,,
2024-01-21 19:00:00-05:00,134.66000366210938,138.3249969482422,134.14999389648438,137.5800018310547,311500.0,,,,,,,,,,
2024-01-22 19:00:00-05:00,138.94000244140625,138.94000244140625,132.8000030517578,132.8699951171875,252500.0,,,,,,,,,,
2024-01-23 19:00:00-05:00,134.67999267578125,134.67999267578125,130.30999755859375,131.4499969482422,201900.0,,,,,,,,,,
2024-01-24 19:00:00-05:00,133.99000549316406,134.5800018310547,132.41000366210938,134.49000549316406,223600.0,,,,,,,,,,
2024-01-25 19:00:00-05:00,134.6699981689453,135.5500030517578,133.89999389648438,134.99000549316406,133000.0,,,,,,,,,,
2024-01-28 19:00:00-05:00,135.5500030517578,137.47000122070312,135.05999755859375,136.8699951171875,172500.0,,,,,,,,,,
